"word","definition"
"is part of theme","An entry in a thesaurus or dictionary that is associated with a theme"
"abandoned industrial site","Site that cannot be used for any purpose, being contaminated by pollutants."
"abandoned vehicle","A vehicle that has been discarded in the environment, urban or otherwise, often found wrecked, destroyed, damaged or with a major component part stolen or missing."
"abiotic factor","Physical, chemical and other non-living environmental factor."
"access road","Any street or narrow stretch of paved surface that leads to a specific destination, such as a main highway."
"access to the sea","The ability to bring goods to and from a port that is able to harbor sea faring vessels."
"accident","An unexpected, unfortunate mishap, failure or loss with the potential for harming human life, property or the environment."
"accident","An event that happens suddenly or by chance without an apparent cause."
"accumulator","A rechargeable device for storing electrical energy in the form of chemical energy, consisting of one or more separate secondary cells.\n(Source: CED)"
"acidification","Addition of an acid to a solution until the pH falls below 7."
"acidity","The state of being acid that is of being capable of transferring a hydrogen ion in solution."
"acidity degree","The amount of acid present in a solution, often expressed in terms of pH."
"acid rain","Rain having a pH less than 5.6."
"acid","A compound capable of transferring a hydrogen ion in solution."
"acid","Being harsh or corrosive in tone."
"acid","Having an acid, sharp or tangy taste."
"acid","A powerful hallucinogenic drug manufactured from lysergic acid."
"acid","Having a pH less than 7, or being sour, or having the strength to neutralize  alkalis, or turning a litmus paper red."
"acoustic filter","A device employed to reject sound in a particular range of frequencies while passing sound in another range of frequencies."
"acoustic insulation","The process of preventing the transmission of sound by surrounding with a nonconducting material."
"acoustic level","Physical quantity of sound measured, usually expressed in decibels.\n(Source: KORENa)"
"acoustic property","The characteristics found within a structure that determine the quality of sound in its relevance to hearing.\n(Source: KOREN)"
"acoustics","The science of the production, transmission and effects of sound."
"actinide","An element member of the actinide group of 15 radioactive elements."
"actinium","A radioactive element of the actinide series, occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.\n(Source: CED)"
"action group","A collection of persons united to address specific sociopolitical or socioeconomic concerns."
"activated carbon","A powdered, granular or pelleted form of amorphous carbon characterized by a very large surface area per unit volume because of an enormous number of fine pores.\n(Source: LANDY)"
"activated sludge","Sludge that has been aerated and subjected to bacterial action; used to speed breakdown of organism matter in raw sewage during secondary waste treatment.\n(Source: LANDY)"
"act","Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it."
"act","Legal documents, decrees, edicts, laws, judgments, etc."
"act","To do something."
"act","To perform a theatrical role."
"adaptable species","Species capable of adapting to changing circumstances."
"chemical addition","Chemical reaction in which one or more of the double bonds or triple bonds in an unsaturated compound is converted to a single bond by the addition of other atoms or groups."
"additional packaging","Additional packaging around the normal sales packaging, for example as protection against theft or for the purpose of advertising."
"addition polymer","A polymer formed by the chain addition of unsaturated monomer molecules, such as olefins, with one another without the formation of a by-product, as water; examples are polyethylene, polypropylene and polystyrene."
"additive","A substance mixed in small quantities with another product to modify its chemical or physical state, for example to make food look visually more attractive."
"additive","Proper to be added."
"adhesive","Substance used for sticking objects together."
"acceptable daily intake","The measurement of the amount of any chemical substance that can be safely consumed by a human being in a day. Calculations are usually based on the maximum level of a substance that can be fed to animals without producing any harmful effects. This is divided by a ""safety factor"" to allow for the differences between animals and humans and to take account of the variation in human diets."
"administration","The management or direction of the affairs of a public or private office, business or organization."
"administrative body","Any governmental agency or organization charged with managing and implementing regulations, laws and government policies.\n(Source: BLD)"
"administrative body","All representatives in a company that have the assignment to administrate the company itself."
"administrative competence","The power of an administrative organ to exercise control over a certain field."
"administrative fiat","An authoritative decree, sanction or order issued from an office with executive or managerial authority, without necessarily having the force of law or its equivalent.\n(Source: RHW / BLD)"
"administrative jurisdiction","The extent, power or territory in which an office with executive or managerial authority administers justice or declares judgments.\n(Source: RHW / BLD)"
"administrative law","Body of law created by administrative agencies in the form of rules, regulations, orders and decisions to carry out regulatory powers and duties of such agencies.\n(Source: BLACK)"
"administrative sanction","Any formal official imposition of penalty or fine, e.g.: destruction, taking, seizure, or withholding of property; assessment of damages, reimbursement, restitution, compensation, costs, charges or fees; requirement, revocation or suspension of license; or any other compulsory or restrictive action taken by an organization, agency or its representative."
"adsorption","The physical or chemical bonding of molecules of gas, liquid or a dissolved substance to the external surface of a solid or the internal surface, if the material is porous, in a very thin layer."
"adult","A person who is fully grown, developed or of a specified age."
"adult","(of animals) fully developed."
"adult education","Any instruction or training, informal or formal, which is geared to persons of mature age, regardless of previous education, and typically offered by university extension programs, employers, correspondence courses or community groups."
"advertisement","The action of drawing public attention to goods, services or events, often through paid announcements in newspapers, magazines, television or radio.\n(Source: C / RHW)"
"product advertising","The creation and dissemination of paid announcements or public notices to draw attention to goods, services or events offered by some entity, usually for purchase.\n(Source: RHW)"
"advice","Official notice, opinion, counsel or recommendation that is optional or at the receiver's discretion."
"aeration","Exposition to the action of air."
"aerial photograph","An image of the ground surface made on a light-sensitive material and taken at a high altitude from an aircraft, spacecraft or rocket.\n(Source: MHD)"
"aerobic process","A process requiring the presence of oxygen."
"aerobiology","The study of the atmospheric dispersal of airborne fungus spores, pollen grains, and microorganisms; and, more broadly, of airborne propagules of algae and protozoans, minute insects such as aphids, and pollution gases and particles which exert specific biologic effects."
"aerodynamic noise","Acoustic noise caused by turbulent airflow over the surface of a body."
"aerosol","A gaseous suspension of ultramicroscopic particles of a liquid or a solid.\n(Source: MGH)"
"aerosol","An aerosol can for applying paint, deodorant, etc., as a fine spray."
"afforestation","Establishment of a new forest by seeding or planting of nonforested land."
"afforestation","The planting of trees on land which was previously used for other uses than forestry."
"afforestation","The planting of trees in an area, or the management of an area to allow trees to regenerate or colonize naturally, in order to produce a forest."
"Africa","The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east."
"afterburning","The incineration of polluting gases and particles resulting from incompletely combusted fuel, and the breakdown of other molecules associated with combustion into inert chemicals."
"age","The period of time that a person, animal or plant has lived or is expected to live."
"age","To begin to look older; to get older."
"age","To make older."
"age","A period of history having some distinctive feature."
"age","How long something has existed."
"agricultural biotechnology","An advanced technology that allows plant breeders to make precise genetic changes to impart beneficial traits to crop plants."
"agricultural building","The buildings and adjacent service areas of a farm.\n(Source: WEBSTE)"
"agricultural ecology","Study of the ecology of agricultural systems and the natural resources required to sustain them."
"agricultural economics","An applied social science that deals with the production, distribution, and consumption of agricultural or farming goods and services."
"agricultural engineering","A discipline concerned with developing and improving the means for providing food and fiber for mankind's needs.\n(Source: MGH)"
"agricultural equipment","Machines utilized for tillage, planting, cultivation and harvesting of crops. Despite its benefits in increasing yields, mechanisation has clearly had some adverse environmental effects: deep ploughing exposes more soil to wind and water erosion; crop residues can be removed as opposed to ploughing back into the soil; removal of residues can lead to a serious loss of organic content in the soil, which may increase the risk of soil erosion.\n(Source: MGH /  DOBRIS)"
"agricultural machinery","Machines utilized for tillage, planting, cultivation and harvesting of crops. Despite its benefits in increasing yields, mechanisation has clearly had some adverse environmental effects: deep ploughing exposes more soil to wind and water erosion; crop residues can be removed as opposed to ploughing back into the soil; removal of residues can lead to a serious loss of organic content in the soil, which may increase the risk of soil erosion.\n(Source: MGH /  DOBRIS)"
"agricultural management","The administration or handling of soil, crops and livestock."
"agricultural pest","Insects and mites that damage crops, weeds that compete with field crops for nutrients and water, plants that choke irrigation channels or drainage systems, rodents that eat young plants and grain, and birds that eat seedlings or stored foodstuffs.\n(Source: WRIGHT)"
"agricultural policy","A course of action adopted by government or some other organization that determines how to deal with matters involving the cultivation of land; raising crops; feeding, breeding and raising livestock or poultry; and other farming issues.\n(Source: RHW)"
"agricultural production","The amount of grown crops and breeded livestock per year in a given area."
"agriculture","The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock."
"agrochemical","Any substance or mixture of substances used or intended to be used for preventing, destroying, repelling, attracting, inhibiting, or controlling any insects, rodents, birds, nematodes, bacteria, fungi, weeds or other forms of plant, animal or microbial life regarded as pests."
"agroforestry","The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time.\n(Source: ALL)"
"agroindustry","Industry dealing with the supply, processing and distribution of farm products.\n(Source: PHC)"
